title,score,episodes,rank,popularity,year,synopsis
Hunter x Hunter: Greed Island,8.18,8.0,466.0,1521,,"After the battle with the Spiders, the search for Ging continues as Gon and Killua decided to once again attempt to purchase the rare game ""Greed Island."" However, Gon came up with a better plan, which was to volunteer to complete the game for the billionaire who owned it. But some training must be done, as Gon and Killua's abilities are still at a developing stage and ""Greed Island"" is no simple game for anyone to play with. It is the infamous game that could easily lead to one's death. Based on the manga by Togashi Yoshihiro."
Hunter x Hunter: Greed Island Final,8.25,14.0,375.0,1712,,"Continuing with their adventure at Greed Island, Gon and Killua train furiously under the guidance of Biscuit for better preparation at attempting the game. With their abilities vastly improving and the threat of player killers menacing Greed Island, Gon and company continue the game despite the dangers that they will face with the game activities and encounters with other players. Based on the manga by Togashi Yoshihiro."
Jinki:Extend,6.1,12.0,10201.0,6471,2005.0,"Aoba is a young girl who loves to build models of robots. She lived alone with her grandmother until her grandmother passes away. Shortly after she is kidnapped and brought to a secret base where she discovers a huge robot. The piloted robots fight against Ancient-Jinki in The Grand Savanna, but the true meaning behind the fights is hidden. Aoba works hard at the base so one day she can pilot one of the robots and discover these secrets."
Kamikaze Kaitou Jeanne,7.48,44.0,2228.0,3230,1999.0,"A normal looking high school girl on the outside, Kusakabe Maron is actually the reincarnation of Jeanne d' Arc. With the help of the angel, Fin Fish, Maron works as the thief Jeanne at night to seal the demons that reside in pieces of artwork, preying upon the weak hearts of the owners. She is branded as a thief due to the fact that the artworks disappear after she seals the demons. One day, a new neighbor and classmate appears, as well as a rival in her night job, the thief Sinbad. With her own best friend being the detective's daughter, out to capture her and the appearance of her new rival, Maron's work is anything but easy."
Kannazuki no Miko,6.8,12.0,5829.0,2831,2004.0,"Kannazuki no Miko begins in the village of Mahoroba, where time passes slowly for both man and nature. Two students from the village's prestigious Ototachibana Academy might as well be night and day. Himeko is shy and unassertive, while Chikane is bold and elegant. Despite this, they love each other, and nothing can come between them, no matter how hard they try.

On the two girls' shared birthday, a sinister voice corrupts one of their friends into attacking them, and just when it seemed grimmest, the lunar and solar priestess powers that lay dormant in the two girls awaken, dispelling the evil. That was only the first hurdle, however. The two must now fend off the countless others who would threaten their well-being—even the people closest to them!"
Kanon,7.06,13.0,4458.0,2969,2002.0,"It’s been 7 years since Yuuichi Aizawa visited his aunt Akiko, but now that his parents have gone to Africa to pursue their careers, he is finally back in the little northern town. Yuuichi is not really overjoyed with the prospect of living here though, because all of his memories of this place and the people living in it have mysteriously vanished. His cute cousin Nayuki seems like a stranger as well, even though he used to play with her all the time when they were younger.

On the day of moving into his new home, Yuuichi starts unpacking the boxes and stumbles upon a red headband that no one seems to recognize. This is one of the first clues that will make Yuuichi take a stroll through the snow-covered town and make him start recalling fragments of his past, broken promises and buried secrets. Yuuichi soon realizes that there is something supernatural going on, and all of his new female acquaintances seem to have links to his forgotten past."
Kareshi Kanojo no Jijou,7.6,26.0,1746.0,1108,1998.0,"Yukino Miyazawa is the female representative for her class and the most popular girl among the freshmen at her high school. Good at both academics and sports on top of being elegant and sociable, she has been an object of admiration all her life. However, in reality, she is an incredibly vain person who toils relentlessly to maintain her good grades, athleticism, and graceful appearance. She wants nothing more than to be the center of attention and praise—which is why she cannot stand Souichirou Arima, the male representative for her class and the only person more perfect than her. Since the first day of high school, she has struggled to steal the spotlight from her new rival but to no avail.

At last, on the midterm exams, Yukino gets the top score and beats Souichirou. But, to her surprise, he congratulates her on her achievement, leading her to question her deceptive lifestyle. When Souichirou confesses his love to Yukino, she turns him down and gloats about it at home with only a hint of regret. But the very next day, Souichirou visits Yukino house to bring her a CD and sees her uninhibited self in action; now equipped with the truth, he blackmails her into completing his student council duties. Coerced into spending time with Souichirou, Yukino learns that she is not the only one hiding secrets.

[Written by MAL Rewrite]"
Kono Minikuku mo Utsukushii Sekai,6.7,12.0,6455.0,3134,2004.0,"High school student Takeru Takemoto works part time as a (motor)bike courier. During one of his deliveries, he saw a mysterious light passing him and fell into a forest. What he had found was a beautiful girl coming out from a glowing cocoon, calling herself ""Hikari."" While Takeru was quite embarrassed because of Hikari's nudity, a strange monster suddenly showed up and immediately attacked the two. Both Takeru and Hikari demonstrated the power of their other selves before Takeru had a clue of what's going on.

(Source: ANN)"
Kimi ga Nozomu Eien,7.16,14.0,3889.0,1788,2003.0,"In the warmth of a golden sun, timid high school student Haruka Suzumiya confesses to Takayuki Narumi, the boy she admires. Takayuki accepts Haruka's confession and the two become a couple, supported by their mutual friends Mitsuki Hayase and Shinji Taira. All is well for these friends—until tragedy strikes. 

One of them is sent to an unenviable fate, lying dormant in a coma. Three years later, they awaken, but their sudden reappearance in everyone's lives threatens to test the limits of these friends' bonds.

[Written by MAL Rewrite]"
Kita e.: Diamond Dust Drops,6.61,12.0,7043.0,7149,2004.0,"If a couple sees the diamond dust together, then they will certainly find eternal happiness. Or so it is said. This is a drama about the romances, friendships and conflicts of six girls from Hokkaido and how the diamond dust affects them and eventually links them together in the search for happiness. 

(Source: ANN)"
Loveless,6.7,12.0,6454.0,1809,2005.0,"In the world of Loveless, each person is born with cat ears and a tail, which disappear only if that person engages in a sexual intercourse. Because of this, they have come to symbolize virginity and innocence. Additionally, fighting is only done by ""fighting pairs"" or couples, where one is known as the Sacrifice and the other as the Fighter. The first receives the damage while the latter attacks.

Ritsuka Aoyagi is a 12-year-old boy, who for some unknown reason suffers from amnesia. His brother got killed recently, and as if his life has not been hard enough lately, on his first day at the new school he gets approached by a stranger called Agatsuma Soubi, who claims to have known his late brother. Ritsuka finds out that Agatsuma and his brother used to be a fighting pair, and that Agatsuma has inherited Ritsuka now that his brother is gone. Together, they try to find the truth behind his brother's death and the organization known as the ""Seven Moons,"" which may have been responsible for it. All the while, it seems that Ritsuka and Agatsuma are becoming closer than they intended to be…"
Blood+,7.6,50.0,1734.0,681,2005.0,"Saya Otonashi is a seemingly ordinary girl living a mundane life with her adoptive family in Okinawa City. In fact, her only peculiarities are suffering from anemia and being unable to remember any of her life beyond the previous year.

However, Saya's forgotten past quickly comes back to haunt her—one night, she is attacked at school by a creature that feeds on human blood. Just when all hope seems lost, a mysterious man named Haji appears and fends off the creature temporarily. But when her rescuer forces her to drink his blood, Saya suddenly enters a trance and slays the monster with ease, using her own blood as a catalyst. 

Saya then learns of an organization named Red Shield, founded for the sole purpose of defeating the hellish beasts. Now Saya and Haji must work together with Red Shield to fight these fearsome monsters and unlock the secrets to the girl's past.

[Written by MAL Rewrite]"
Re: Cutie Honey,7.16,3.0,3902.0,4420,,"The last words spoken to Honey Kisaragi by her father before his death at the hands of the mysterious organization Panther Claw have shaped her way of life. It is the sole reason she still continues to fight for the sake of others.

The energetic Inspector Natsuko Aki does her absolute best to apprehend the members of Panther Claw and bring them to justice, but they are simply too much for the police to handle. The only one who can give these criminals a run for their money is the sexy warrior of love and justice, Cutie Honey—the secret alter ego of Kisaragi. Although Natsuko refuses to acknowledge vigilantes, her relationship with Honey progresses for the better as the strong-headed detective realizes the true intentions behind Honey's actions.

Overtime, Honey grows more fearful of her burning desire for revenge; meanwhile, Natsuko wants to protect her friend, a sentiment that clashes with her ideals of upholding the law. If they ever hope to stand a chance against the menacing Panther Claw, the duo will have to put aside their differences and stand together.

[Written by MAL Rewrite]"
Solty Rei,7.28,24.0,3201.0,4486,2005.0,"In a future-based disaster-ridden city with an enormous gap between the rich and the poor, it is hard to tell which humans are walking around with cybernetic body parts. This makes Roy Revant's job as a renegade bounty hunter/bodyguard-for-hire even more difficult. When a young girl with unbeliveable strength rescues him from a particularly dangerous criminal, Roy realizes that perhaps help can be found in the strangest of places. Joining together with a few others, they engage in a battle to find out the truth behind the giant conglomerates that are supposedly serving mankind and making life better.

Solty, an android who has lost her memory, has escaped and is being hunted by the RUC Security Bureau. She encounters the bounty hunter Roy and he adopts her as his daughter after being hired as a bodygaurd for Miranda.

(Source: ANN)"
Juuni Kokuki,8.01,45.0,720.0,1591,2002.0,"Youko Nakajima has only ever wanted to be normal. She does what she is asked, gets good grades, is the class president, and even helps her classmates whenever she can—but because of her red hair, she has never fit in. With her pushover attitude, Youko lets classmates take advantage of her, so she has nobody she can really call a friend.

But on an otherwise ordinary day, a man who claims to be from another world barges into Youko's classroom and bows before her. This elegant blond-haired man, Keiki, claims that Youko is his master and belongs on the throne of his kingdom. However, their first meeting is cut short as Keiki has been followed by otherworldly beasts called youma. He is able to escape with Youko into his own realm, but two other classmates—Ikuya Asano and Yuka Sugimoto—are caught up in the madness as well. Unfortunately, their troubles have only just begun, as the youma attack leaves them separated from Keiki. Alone in this strange new land, these ordinary students must learn to fend for themselves or die.

[Written by MAL Rewrite]"
Shaman King,7.73,64.0,1342.0,712,2001.0,"A battle is about to begin in Tokyo: the Shaman Fight, a tournament held every five hundred years where shaman—those who can command spirits—confront each other in combat. The victor of this contest becomes the Shaman King and the only one who is able to contact and control the Great Spirit, allowing them to reshape the world as they please through its immense power.

During a late night walk, Manta Oyamada runs into his classmate, the carefree You Asakura, who invites him to come stargazing with some friends, who, to Manta's horror, turn out to be ghosts from a local cemetery! However, the knowledge that Manta possesses—a rare sixth sense that allows Manta to see these spirits—endears the boy to You. So when You finds out that his new comrade has been beaten up by a local gang, he decides to avenge him with the help of Amidamaru, a samurai ghost whose tomb was broken by the gang leader. 

Soon Manta uncovers more about the world of spirits, including the Shaman Fight, in which his new friend You aims to claim victory.

[Written by MAL Rewrite]"
X/1999,6.57,1.0,7344.0,3892,,"The future of the universe rests on one young man, Kamui Shiro, who must destroy either the Dragons of Earth or the Dragons of Heaven - two opposing armies. He alone must decide whether humanity should be destroyed to create a purified universe, or whether it should be protected to preserve civilization.

Two oracles, the sisters Hinoto and Kanoe foresee the coming of the Dragons and predict opposite outcomes. Each sister gathers strength and ammunition to insure her own vision for the future. However, neither sister realizes that there is one man who has an even greater power than the Dragons, and that ultimately he will determine the fate of the earth.

Which sister will prevail and how does Kamui fit into their struggle? The answer to this question will forever affect humanity.

(Source: Manga Entertainment)"
X,7.39,24.0,2642.0,2566,2001.0,"In the fight between the Dragons of Heaven and the Dragons of Earth, the dream seer Princess Hinoto predicts the end of humanity. A central entity, 15-year-old Kamui Shirou, is to choose whether to ally with the Dragons of Earth and destroy civilization to protect the planet or with the Dragons of Heaven to save mankind.

Following his mother's last wish, Kamui returns to Tokyo after six years of self-imposed exile. There, he attempts to steal the Sacred Sword from the temple protected by Kyougo Monou—the father of his childhood friends, Fuuma and Kotori. However, after Kamui's venture fails, a mysterious person manages to obtain the sword instead.

Believing Kamui to be the man in her prophecy, Hinoto sends the Dragons of Heaven after him to rally him to their cause. Although Kamui first rejects his destiny, the incessant attacks by the Dragons of Earth against those he holds dear push him to decide whether the lives of his friends should prevail over the fate of the Earth and finally pick a side.

[Written by MAL Rewrite]"
Mahou Sensei Negima!,6.92,26.0,5129.0,1800,2005.0,"10-year-old Negi Springfield is a wizard-in-training, and needs only to pass one more test in order to become a Master Wizard. Unfortunately, his final task is a bizarre one—to become a English teacher at an all-females boarding school. As soon as he arrives, he completely embarrasses one of his students, Asuna Kagurazaka, and replaces the teacher she loves, which garners her hatred. To make matters worse, Asuna learns that Negi is a wizard, and promises to tell unless he helps her out. But unfortunately, circumstances force them to work together to do many things, from fighting evil wizards to helping the class pass their final exam, with a lot of humor, magic, and romances thrown in.

(Source: ANN, edited)"
Maria-sama ga Miteru,7.29,13.0,3142.0,2827,2004.0,"Sachiko Ogasawara, a brilliant and refined student at Lillian Girls' Academy, hides a troubled personality behind her status as the school idol. She has a deep aversion to men and is revolted by the idea of having to dance with a male student for the upcoming school play. Desiring to step down from her role, she proposes to the Yamayuri Council, Lillian's student council, that she will instead prove her worth by finding a petite sœur—an underclassman who becomes the protegee of her grande sœur.

To the bewilderment of all, Yumi Fukuzawa, the first-year student Sachiko invites to become her petite sœur, refuses the proposal. However, senior Yamayuri Council member Sei Satou proposes a challenge: if Sachiko can convince Yumi to become her petite sœur, she can withdraw from the play. Although Sachiko often struggles to connect with others, she endeavors to do everything in her power to win Yumi over.

[Written by MAL Rewrite]"
Boukyaku no Senritsu,6.3,24.0,9032.0,5477,2004.0,"A great war occurred in the 20th century between humans and monsters. Since that time, the monsters rule the world in fear but keep relatively hidden from public view. A boy named Bokka ponders the past and wonders what became of the Meros Warriors who defended the world so bravely against the demons. He soon meets Kurofune and learns of the power of the Meros and the I-bar machines they ride in battle. Warriors are the only ones who can see and hear the Melody of Oblivion, a phantom girl hidden away waiting to be rescued and be the savior of mankind. During a battle between Kurofune and a demon, Bokka discovers something only his wildest dreams could possibly imagine...he too can hear that melody. Throughout his journeys, Bokka meets many monsters and their agents, friends, and companions as he discovers the true extent of his new powers. He must continue to battle evil in the hope of releasing Boukyaku no Senritsu and free a world that has forgotten its once beautiful melody.

(Source: ANN)"
"Ima, Soko ni Iru Boku",7.58,13.0,1807.0,1682,1999.0,"Shuuzou ""Shuu"" Matsutani lives his ordinary life in peace. He has friends, a crush, and a passion for kendo. Dejected after losing to his kendo rival, Shuu climbs a smokestack to watch the sunset where he finds Lala-Ru, a quiet, blue-haired girl wearing a strange pendant. Shuu attempts to befriend her, despite her uninterested, bland responses.

However, his hopes are crushed when a woman, accompanied by two serpentine machines, appear out of thin air with one goal in mind: capture Lala-Ru. Shuu, bull-headed as he is, tries to save his new friend from her kidnappers and is transported to a desert world, unlike anything he has ever seen before. Yet, despite the circumstances, Shuu only thinks of saving Lala-Ru, until he is thoroughly beaten up by some soldiers. As he soon finds out, Lala-Ru can manipulate water and her pendant is the source from which she is able to bring forth the liquid, a scarce commodity in his new environment. But now, the pendant is lost, and Shuu is the prime suspect.

Ima, Soko ni Iru Boku is the haunting story of a dystopian world, and of Shuu, who has to endure torture, hunger, and the horrors of war in order to save the lonely girl he found sitting atop a smokestack.

[Written by MAL Rewrite]"
Peace Maker Kurogane,7.29,24.0,3148.0,3227,2003.0,"Although traumatized by witnessing the murder of his parents by one of the Choushuu, Ichimura Tetsunosuke's thirst for revenge lead him to desire strength. At the age of 15, Tetsunosuke approached the Shinsengumi, wanting to become one of its members. However, Tetsunosuke lacked the skill, mind and will to emotionlessly cut down whoever threatened peace and the Shinsengumi. Even with the support of his brother Tatsunosuke and his newfound friends of the Shinsengumi, little did Tetsunosuke know the blood and pain he would have to face being part of this historical group."
Pita Ten,6.96,26.0,4944.0,4971,2002.0,"Kotarou was pretty much supposed to be your average boy, worried about the pressures of education while enjoying a simple life with his friends. Much to his despair, he one day finds the overly cheerful Misha at his door, asking to be friends out of nowhere. Even more shocking is that Misha is an apprentice angel, yet she does more bad then good. Along with Kotarou's school friends Takashi and Koboshi and the so called devil Shia (once again being able to do more good then bad), the group of friends spend their days getting into all sorts of adventures and troubles."
Power Stone,6.52,26.0,7666.0,7554,1999.0,"An ancient legend tells of a magical Powerstone that granted its owner any wish desired. Adventurers from all over the globe clash as they seek this mystical gem. 

Based upon the Dreamcast game, POWERSTONE tries to entertain us with the story behind the game's premise. The plot begins with our hero, Fokker, training to be a fighter like his idol, Vargas. 

(Source: AniDB)"
Mononoke Hime,8.67,1.0,81.0,108,,"When an Emishi village is attacked by a fierce demon boar, the young prince Ashitaka puts his life at stake to defend his tribe. With its dying breath, the beast curses the prince's arm, granting him demonic powers while gradually siphoning his life away. Instructed by the village elders to travel westward for a cure, Ashitaka arrives at Tatara, the Iron Town, where he finds himself embroiled in a fierce conflict: Lady Eboshi of Tatara, promoting constant deforestation, stands against Princess San and the sacred spirits of the forest, who are furious at the destruction brought by the humans. As the opposing forces of nature and mankind begin to clash in a desperate struggle for survival, Ashitaka attempts to seek harmony between the two, all the while battling the latent demon inside of him. Princess Mononoke is a tale depicting the connection of technology and nature, while showing the path to harmony that could be achieved by mutual acceptance.

[Written by MAL Rewrite]"
RahXephon,7.38,26.0,2681.0,2004,2002.0,"The ordinary life of high school student Ayato Kamina is turned upside down when Tokyo is suddenly invaded by futuristic fighter jets. Amidst the chaos, he encounters a woman called Haruka Shitow who claims to be from a government organization called TERRA. She reveals that he has been living in a time bubble named ""Tokyo Jupiter"" that was put in place by the Mulians—humanoids from another dimension—in an attempt to isolate and take over Tokyo. TERRA has been trying to break through the barrier surrounding the city ever since. 

Unable to process the revelation, Ayato panics and flees. He runs into his classmate Reika Mishima who leads him to a place called ""The Shrine of Xephon"" where a large egg slumbers. She starts to sing and an unknown power awakens within Ayato, connecting him to a being called RahXephon that breaks out of the egg. Shortly after, Haruka finds him again and tries to make him join her cause of fighting against the Mulians.

Caught between the crosshairs of the Mulians and TERRA, Ayato begins to question his purpose, navigating altered memories and ultimately his very identity in this chaotic new world.

[Written by MAL Rewrite]"
Samurai 7,7.43,26.0,2455.0,1901,2004.0,"In the far distant future, on a planet that might have been called ""earth"", there was a war between samurai who mechanized their bodies. After the long war, people enjoyed a modest peace.

Facing starvation and abductions at the hands of fearsome mechanized bandits (Nobuseri), the farmers of Kanna Village make the dangerous choice to hire samurai for protection. The village's water priestess, Kirara, her younger sister, Komachi, and a heartbroken villager, Rikichi, set off to hire willing samurai with nothing to offer but rice from their meager harvests. Through dangerous encounters and a bit of luck, seven samurai of varying specialties and experience are gathered for an epic battle against the bandits and the merchants that influence them.

Samurai 7 is based loosely upon Kurosawa Akira's famous movie ""Seven Samurai""/""Shichinin no Samurai"""
Scrapped Princess,7.37,24.0,2722.0,2338,2003.0,"Born to the royal family, Pacifica Casull has earned the nickname ""Scrapped Princess"" after an apocalyptic prophecy foretells her destroying the world on her 16th birthday. Rescued from certain death by a kindly family, she takes shelter with her adoptive older brother and sister, Shannon and Raquel Casull. When news of her survival reaches the ears of the God Mauser's worshippers, they issue her death at all costs, forcing Pacifica to flee for her life.

Plagued by threats from the church, the nobility and even the common people, the three siblings attempt to outrun the fate Pacifica is destined to bring, all the while questioning if one girl's life is worth the world's demise. The true nature of the Scrapped Princess, along with the harrowing revelations of the world itself, becomes more and more apparent as the princess' 16th birthday fast approaches.

[Written by MAL Rewrite]"
s.CRY.ed,7.36,26.0,2781.0,2599,2001.0,"A strange environmental phenomenon 22 years ago in the Kanazawa prefecture caused the land to split and protrude upwards reaching unprecedented heights, creating the secluded area known as The Lost Ground. Kazuma is a young mercenary who lives in the Lost Ground, looking for any work he can find to sustain his livelihood within the harsh environment. He is one of the few people that are gifted with the Alter ability, which allows him to plaster his right arm and torso with a metallic alloy. When this mercenary encounters HOLY, an order whose purpose is to suppress and capture what they call Native Alter Users, and one of the elite members of HOLY, Ryuho, an epic rivalry begins.

(Source: ANN)"
Shingetsutan Tsukihime,6.78,12.0,5957.0,1534,2003.0,"Shiki Toono wakes up in a hospital ward with the ability to see invisible lines. These thin threads, which make up all matter in Shingetsutan, instantly destroy an object when severed. Shiki discovers that if he traces the lines of something, its destruction soon follows. While keeping his supernatural vision a secret, Shiki proceeds to live his sophomore life in peace. However, this peace is short-lived when Shiki encounters a mysterious woman with bright red eyes on his way back from school. Following a sudden psychotic lapse, he appears to kill the woman, and passes out shortly after. As if things couldn't get any worse, Shiki is assailed by a pair of demonic hounds the next day—facing certain death, Shiki is saved by the timely arrival of the same woman from yesterday. She introduces herself as Arcueid Brunestud, a vampire princess. Deciding to team up, Shiki and Arcueid embark on a journey to uncover the truth behind their lineage and the recent string of murders around town.

[Written by MAL Rewrite]"
Slam Dunk,8.56,101.0,134.0,828,1993.0,"Hanamichi Sakuragi, infamous for his temper, massive height, and fire-red hair, enrolls in Shohoku High, hoping to finally get a girlfriend and break his record of being rejected 50 consecutive times in middle school. His notoriety precedes him, however, leading to him being avoided by most students. Soon, after certain events, Hanamichi is left with two unwavering thoughts: ""I hate basketball,"" and ""I desperately need a girlfriend.""

One day, a girl named Haruko Akagi approaches him without any knowledge of his troublemaking ways and asks him if he likes basketball. Hanamichi immediately falls head over heels in love with her, blurting out a fervent affirmative. She then leads him to the gymnasium, where she asks him if he can do a slam dunk. In an attempt to impress Haruko, he makes the leap, but overshoots, instead slamming his head straight into the blackboard. When Haruko informs the basketball team's captain of Hanamichi's near-inhuman physical capabilities, he slowly finds himself drawn into the camaraderie and competition of the sport he had previously held resentment for.

[Written by MAL Rewrite]"
Strange Dawn,6.31,13.0,9009.0,8277,2000.0,"Yuko and Eri are two normal girls who are sucked into the alternate world filled with tiny people. The people of this mysterious world sees them as their ""Great Protectors"" who can protect their land in a time of strife. The two girls set out on a mission with a group of warriors from the village to find out how they were brought here and how might they return home. However, there is a war brewing and these two Great Protectors are the political tool that every faction lusts for to rally the people to their side. 

(Source: ANN)"
Tactics,7.2,25.0,3694.0,3932,2004.0,"Ichinomiya Kantarou grew up with the ability to see demons, but was isolated and bullied by others who did not share the same gift. Instead, he became being friends with the demons, gaining a great attachment to their existence. One day, Kantarou was told about the strongest demon, the one known as the ogre-eating Tengu. Amazed by the news of his strength, Kantarou vowed to find this demon who was far stronger than any other, deciding to call him Haruka when he did so. Since this time, Kantarou searched far and wide for the ogre-eating Tengu with no luck, making his living by becoming a folklore writer and demon-buster. On a particular job, Kantarou had finally found news of a nearby shrine supposedly the place where the ogre-eating Tengu was sealed."
Tenjou Tenge,6.86,24.0,5494.0,1398,2004.0,"For some people, high school represents the opportunity for a fresh start. You can take new classes and make new friends. For Souichiro Nagi and Bob Makihara, though, high school means something different: the chance to become the top fighters in the entire student body! Too bad Toudou Academy is the hardest possible place to realize their dreams. Their new high school is no ordinary academic institution. Rather than concentrating on classic subjects like math and science, Toudou Academy was created for the sole purpose of reviving the martial arts in Japan!

As a result, Souichiro's aspirations to become top dog are cut short when he runs afoul of Masataka Takayanagi and Maya Natsume. The two upperclassmen easily stop the freshmen duo's rampage across school, but rather than serving as a deterrent, it only stokes their competitive fire. What kind of monstrous fighters attend Toudou Academy? Are there any stronger than Masataka and Maya? And why in the world is Maya's younger sister stalking Souichiro? Learn the answers to these questions and more in Tenjou Tenge!"
Tokyo Underground,6.59,26.0,7210.0,4554,2002.0,"Under the capital city of Tokyo, Japan, there exists a large, vast, and unknown world known as Underground. There, people known as Elemental Users exist; people who have the ability to control the elements: Fire, Water, Lightning, Magnetism, Freeze, etc. Meet Rumina Asagi and his best friend Ginnosuke Isuzu, two average high school freshmen who reside in Tokyo. When they meet Gravity User, Chelsea Rorec, and the Miko of Life, Ruri Sarasa, their whole lives change into one big adventure.

(Source: ANN)"
Triangle Heart: Sweet Songs Forever,6.12,4.0,10114.0,7991,,"Fiasse is a world-renowned singer. She is now the headmistress of a special Singing School who does a Charity World Tour every year. Her mother left behind a inheritance for her after she died and some shady people are after Fiasse and the inheritance. Bring in Ellis, and two siblings who are master of the swords to protect Fiasse. The World Tour is coming up and Fiasse will continue the show. Ellis, Kyoya, Miyuki and company must protect their childhood friend at all costs. 

(Source: ANN)"
Tsubasa Chronicle,7.51,26.0,2122.0,1177,2005.0,"Sakura and Syaoran live peaceful lives in the desert country of Clow. Despite the King's disapproval of the budding romance between the princess and her archeologist friend, their days remain blissful if not a little dull. But that soon changes when Sakura appears in front of Syaoran in a trance with wings on her back. When the wings dissolve into feathers and Sakura loses consciousness, Syaoran is spurred to action.

Syaoran soon learns that he must collect Sakura's feathers, which have been scattered across many different realms, in order to protect her life. After making a deal with the Dimensional Witch Yuuko Ichihara, Syaoran teams up with Mokona Modoki, a creature who has the power to traverse realms. Also accompanying him on this journey are Fai D. Flourite, a carefree man fleeing persecution in his home world, and Kurogane, a swordsman forced to travel to refine his strength and character. Together, the bizarre alliance works to reclaim Sakura's feathers—no matter how impossible it seems to find them all.

[Written by MAL Rewrite]"
Ultra Maniac,7.18,26.0,3803.0,4278,2003.0,"Fantasies and miracles never interested Ayu Tateishi, a popular second-year student at her middle school. She was content with preserving her image of being cool, calm, and collected—all to catch the eye of her crush, Tetsushi Kaji. Ayu's carefree youthful days are interrupted by the appearance of Nina Sakura, a new transfer student who turns out to be a witch. As the only person who knows about Nina's ability to cast spells using a mini-computer, Ayu is forced to help Nina with her mission to find the five Holy Stones, qualifying her to marry the prince of the Magic Kingdom.

Unfortunately, Nina's ineptitude with magic and her habit of meddling in Ayu's personal life cause nothing but trouble for the two of them as Ayu toils to maintain her good reputation and Nina struggles to hide her secret from the discerning eye of Hiroki Tsujiai, Tetsushi's best friend and an avid fan of manga. And when Nina's search for the five Holy Stones brings allies and challengers from the Magic Kingdom, Ayu is dragged into a world she never even dreamed was possible.

[Written by MAL Rewrite]"
Ultra Maniac OVA,6.61,1.0,7062.0,8856,,"Ayu Tateishi is a popular second-year student at her middle school admired for being calm, cool, and collected. But this carefully preserved image was all crafted to catch the eye of her crush Tetsushi Kaji, who once complimented her for those qualities. Studying, playing tennis, and finding chances to speak with Tetsushi are all that are on Ayu's mind—until the day she finds a mini-computer underneath a bench. 

After returning the item to Nina Sakura, a girl who was searching for a lost item earlier, Ayu is chosen by Nina as a confidante for her secret. When the school's two tennis teams have a dispute regarding use of the courts, Ayu is forced to settle the matter by playing against Hiroki Tsujiai, the captain of the boys' team and Tetsushi's best friend. While dreading the prospect of losing and embarrassing herself, Ayu is approached by Nina, who is revealed to be a witch who came to Earth after failing to graduate from the Magic Kingdom's middle school. Wanting to help Ayu win the match, Nina imbues a piece of chocolate with a spell that just might come in handy...

[Written by MAL Rewrite]"
Vandread,7.16,13.0,3918.0,2556,2000.0,"In Vandread, men are from Mars and women are from Venus! Well, not quite. Technology has allowed mankind to colonize the entire Milky Way galaxy, and in one star system, the men and women live on two different planets, Taraak and Mejere. A bitter and very literal gender war rages, to the point where they don't even see each other as the sames species anymore!

Hibiki Tokai, a male third-class laborer from Taraak, ends up stuck on a battleship after a botched attempt at stealing a robot. When female pirates capture the Taraakian Vanguard, things don't look like they could get any worse for Hibiki. Unfortunately, they do; when the male crew of the Vanguard fire on their captured vessel out of desperation, they created a giant wormhole, which sucks the Vanguard and the Mejeran pirate's ships into itself! Now, stuck far away from their home planets, these men and women must learn to work together if they ever wish to make it back home."
Vandread: The Second Stage,7.39,13.0,2639.0,3341,2001.0,"Though Hibiki and crew defeated a super-huge battleship of the earth in the last of the first stage, they noticed five battleships further aiming at Mejeiru and Tarahk. And, crew of NIRVANA learnt Tarahk and Mejeiru which were their home had been faced to the crisis of Karitori (reaping). Travel to their home is speed up so that they may inform of the crisis. On the way, current information of the earth having been brought by girl Misty who had come to travel with them was worse than they can imagine. Hibiki and crew noticed a true fight was in the future. VANDREAD is finally changed into final system by the attack of the enemy who becomes violent more and more. Can they save their home? And, what happens to the relations between Hibiki and Dita?

(Source: AnimeNfo)"
Tenkuu no Escaflowne,7.66,26.0,1553.0,1557,1996.0,"Hitomi Kanzaki is just an ordinary 15-year-old schoolgirl with an interest in tarot cards and fortune telling, but one night, a boy named Van Fanel suddenly appears from the sky along with a vicious dragon. Thanks to a premonition from Hitomi, Van successfully kills the dragon, but a pillar of light appears and envelopes them both. As a result, Hitomi finds herself transported to the world of Gaea, a mysterious land where the Earth hangs in the sky.

In this new land, Hitomi soon discovers that Van is a prince of the Kingdom of Fanelia, which soon falls under attack by the evil empire of Zaibach. In an attempt to fight them off, Van boards his family's ancient guymelef Escaflowne—a mechanized battle suit—but fails to defeat them, and Fanelia ends up destroyed. Now on the run, Hitomi and Van encounter a handsome Asturian knight named Allen Schezar, whom Hitomi is shocked to find looks exactly like her crush from Earth. With some new allies on their side, Van and Hitomi fight back against the forces of Zaibach as the empire strives to revive an ancient power.

[Written by MAL Rewrite]"
Whistle!,7.39,39.0,2641.0,6062,2002.0,"Kazamatsuri Shou's dream has always been to become a professional soccer player, but he has one problem: he's not very good at the game. He was accepted to the prestigious Musashi no Mori Junior High, known for its top rate soccer team, but he was never able to rise beyond the rank of third stringer. After transferring to Sakura Jousui Junior High, he can finally play soccer. And, with the support of his new friends and teammates, his strong determination, and lots of hard work, his soccer skills are developing rapidly and setting Shou well on his way to achieving his dream.

(Source: ANN)"
